slide_id,label,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
C3L-00011-21.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00079-21.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00097-21.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00097-26.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00103-22.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00103-23.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00165-26.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00183-21.svs,tumor_tissue,1,1,1,4,TRUE,none,none,1,1,1,1,250,TRUE,four_pt
C3L-00183-22.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00183-23.svs,tumor_tissue,1,1,1,4,TRUE,none,none,1,1,1,1,250,TRUE,four_pt
C3L-00183-24.svs,tumor_tissue,1,1,1,4,TRUE,none,none,1,1,1,1,250,TRUE,four_pt
C3L-00183-25.svs,tumor_tissue,1,1,1,4,TRUE,none,none,1,1,1,1,250,TRUE,four_pt
C3L-00183-26.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00360-21.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00360-22.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00369-23.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00369-26.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00416-26.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00447-22.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
C3L-00447-23.svs,tumor_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01458-21.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01460-21.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01467-21.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01558-21.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01865-21.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01865-22.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01865-23.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01865-26.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-01953-21.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3L-02210-22.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3N-01177-23.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3N-01362-28.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3N-01362-30.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
non_C3N-01650-30.svs,normal_tissue,2,1,1,4,TRUE,none,none,1,1,1,2,250,TRUE,four_pt
